cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.27,55.318",25.27,55.318,1,4.8,0.0,0.3035550745550746
"25.27,55.321",25.27,55.321,2,4.6,0.0,0.0980743631667661
"25.27,55.323",25.27,55.323,2,4.6,0.0,0.4895555555555555
"25.27,55.325",25.27,55.325,1,4.9,1.0,0.4486180622749317
"25.27,55.33",25.27,55.33,1,4.9,1.0,0.4915272530499804
"25.27,55.429",25.27,55.429,1,3.7,0.0,
"25.27,55.43",25.27,55.43,1,3.6,0.0,0.2328448773448773
"25.271,55.301",25.271,55.301,1,4.8,0.0,
"25.271,55.305",25.271,55.305,1,4.3,0.0,
"25.271,55.309",25.271,55.309,1,4.0,0.0,0.0173
"25.271,55.313",25.271,55.313,1,4.5,0.0,
"25.271,55.314",25.271,55.314,2,5.0,0.0,0.3391098675416857
"25.271,55.322",25.271,55.322,1,5.0,0.0,
"25.271,55.323",25.271,55.323,1,4.5,0.0,
"25.271,55.327",25.271,55.327,1,4.5,1.0,0.4156400531286895
"25.271,55.434",25.271,55.434,1,4.0,0.0,0.3913333333333333
"25.271,55.438",25.271,55.438,1,4.6,0.0,
"25.272,55.297",25.272,55.297,2,4.449999999999999,0.5,0.22200871598639454
"25.272,55.299",25.272,55.299,1,5.0,0.0,
"25.272,55.304",25.272,55.304,1,4.3,0.0,
"25.272,55.31",25.272,55.31,1,4.6,0.0,
"25.272,55.311",25.272,55.311,1,4.1,0.0,0.4141428571428571
"25.272,55.32",25.272,55.32,1,4.2,0.0,0.1324625
"25.272,55.33",25.272,55.33,2,3.4,0.5,0.4188571428571429
"25.272,55.333",25.272,55.333,1,4.2,0.0,
"25.273,55.302",25.273,55.302,1,4.3,0.0,
"25.273,55.307",25.273,55.307,3,4.1,0.0,0.3366919642857143
"25.273,55.31",25.273,55.31,1,4.8,0.0,
"25.273,55.311",25.273,55.311,1,4.6,0.0,0.3609037935748462
"25.273,55.331",25.273,55.331,2,4.2,0.5,0.2729753821577724
"25.273,55.332",25.273,55.332,3,4.133333333333334,0.6666666666666666,0.16512213465546793
"25.273,55.333",25.273,55.333,2,3.8,0.0,0.16431851065124806
"25.273,55.354",25.273,55.354,1,5.0,0.0,
"25.274,55.297",25.274,55.297,1,4.1,0.0,0.3502077922077922
"25.274,55.301",25.274,55.301,1,4.6,1.0,0.439707813020313
"25.274,55.312",25.274,55.312,1,4.7,0.0,
"25.274,55.313",25.274,55.313,1,4.2,0.0,0.596
"25.274,55.321",25.274,55.321,1,2.3,0.0,
